id,title,venueId,startDate,endDate,description
25,Digital Marketing Summit,25,2024-02-21T08:00:00.000Z,2024-02-22T17:00:00.000Z,Exploring the latest trends and strategies in digital marketing and online presence.
26,Innovation Conference,2,2024-02-23T10:00:00.000Z,2024-02-24T16:00:00.000Z,"Bringing together innovative thinkers, entrepreneurs, and industry leaders to discuss future trends."
27,Fashion Exhibition,24,2024-02-25T18:00:00.000Z,2024-02-28T22:00:00.000Z,"Showcasing fashion designs, trends, and creative expressions in an exhibition setting."
28,Environmental Awareness Symposium,2,2024-02-29T09:00:00.000Z,2024-03-01T18:00:00.000Z,"Discussing environmental issues, solutions, and promoting awareness for a sustainable future."
29,Jazz Festival,17,2024-02-02T16:00:00.000Z,2024-02-04T23:59:00.000Z,"A celebration of jazz music with live performances, jam sessions, and a vibrant atmosphere."
30,Education Fair,2,2024-02-05T12:30:00.000Z,2024-02-06T17:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
31,Virtual Reality Expo,19,2024-02-07T15:00:00.000Z,2024-02-09T19:00:00.000Z,Showcasing the latest advancements in virtual reality technology and experiences.
32,E-Sports Championship,39,2024-02-10T11:00:00.000Z,2024-02-12T20:00:00.000Z,A competitive gaming championship featuring top esports players and exciting matches.
33,International Film Festival,47,2024-02-13T13:00:00.000Z,2024-02-15T23:59:00.000Z,"Screening a selection of international films, documentaries, and discussions with filmmakers."
34,Entrepreneurship Summit,14,2024-02-16T09:00:00.000Z,2024-02-18T18:00:00.000Z,"Empowering entrepreneurs with insights, networking opportunities, and discussions on business success."
35,Book Fair,27,2024-02-19T14:00:00.000Z,2024-02-21T16:30:00.000Z,"A haven for book lovers, featuring a wide selection of books, author signings, and literary discussions."
36,AI and Robotics Conference,25,2024-02-22T10:30:00.000Z,2024-02-24T17:00:00.000Z,Exploring the latest developments and applications in artificial intelligence and robotics.
37,Wellness and Health Expo,7,2024-02-25T08:00:00.000Z,2024-02-26T16:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
38,Automobile Exhibition,48,2024-02-27T12:00:00.000Z,2024-02-28T19:00:00.000Z,"Showcasing the latest innovations in the automotive industry, from electric cars to futuristic designs."
39,Global Trade Fair,29,2024-02-29T09:00:00.000Z,2024-03-01T18:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
40,Winter Wonderland,22,2024-02-01T17:00:00.000Z,2024-02-06T22:00:00.000Z,"An enchanting winter-themed fair with festive activities, entertainment, and seasonal delights."
41,Space and Astronomy Expo,19,2024-02-07T11:00:00.000Z,2024-02-09T17:00:00.000Z,"Exploring the wonders of space and astronomy, featuring exhibits, stargazing sessions, and expert talks."
42,Gourmet Food Festival,21,2024-02-10T18:00:00.000Z,2024-02-12T21:00:00.000Z,"A culinary extravaganza featuring gourmet delights, chef demonstrations, and tastings of exquisite dishes."
43,Adventure Travel Expo,44,2024-02-13T09:30:00.000Z,2024-02-15T18:00:00.000Z,"Exploring adventure travel opportunities, outdoor activities, and adrenaline-pumping experiences."
44,Handmade Crafts Fair,27,2024-02-16T12:00:00.000Z,2024-02-18T20:00:00.000Z,"Showcasing handmade crafts, artistic creations, and providing a platform for local artisans."
45,Digital Marketing Conference,24,2024-02-19T08:00:00.000Z,2024-02-20T17:00:00.000Z,Exploring the latest trends and strategies in digital marketing and online presence.
46,Innovation Symposium,9,2024-02-21T10:00:00.000Z,2024-02-22T16:00:00.000Z,"Bringing together innovative thinkers, entrepreneurs, and industry leaders to discuss future trends."
47,Fashion Design Exhibition,27,2024-02-23T18:00:00.000Z,2024-02-26T22:00:00.000Z,"Showcasing fashion designs, trends, and creative expressions in an exhibition setting."
48,Environmental Sustainability Summit,38,2024-02-27T09:00:00.000Z,2024-02-28T18:00:00.000Z,"Discussing environmental issues, solutions, and promoting awareness for a sustainable future."
49,Blues Music Festival,5,2024-02-29T16:00:00.000Z,2024-03-02T23:59:00.000Z,"A celebration of blues music with live performances, jam sessions, and a soulful atmosphere."
50,Education Expo,32,2024-02-03T12:30:00.000Z,2024-02-04T17:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
51,Virtual Reality Showcase,10,2024-02-05T15:00:00.000Z,2024-02-07T19:00:00.000Z,Showcasing the latest advancements in virtual reality technology and experiences.
52,E-Sports Tournament,2,2024-02-08T11:00:00.000Z,2024-02-10T20:00:00.000Z,A competitive gaming tournament featuring top esports players and thrilling matches.
53,International Short Film Festival,42,2024-02-11T13:00:00.000Z,2024-02-13T23:59:00.000Z,"Screening a selection of international short films, documentaries, and discussions with filmmakers."
54,Entrepreneurship Summit,5,2024-02-14T09:00:00.000Z,2024-02-16T18:00:00.000Z,"Empowering entrepreneurs with insights, networking opportunities, and discussions on business success."
55,Book Fair,44,2024-02-17T14:00:00.000Z,2024-02-19T16:30:00.000Z,"A haven for book lovers, featuring a wide selection of books, author signings, and literary discussions."
56,AI and Robotics Exhibition,39,2024-02-20T10:30:00.000Z,2024-02-22T17:00:00.000Z,Exploring the latest developments and applications in artificial intelligence and robotics.
57,Wellness and Lifestyle Expo,47,2024-02-23T08:00:00.000Z,2024-02-24T16:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
58,Automotive Innovation Fair,35,2024-02-25T12:00:00.000Z,2024-02-26T19:00:00.000Z,"Showcasing the latest innovations in the automotive industry, from electric cars to futuristic designs."
59,Global Trade Fair,15,2024-02-27T09:00:00.000Z,2024-02-28T18:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
60,Winter Wonderland,11,2024-02-29T17:00:00.000Z,2024-03-05T22:00:00.000Z,"An enchanting winter-themed fair with festive activities, entertainment, and seasonal delights."
61,Space Exploration and Astronomy Expo,5,2024-02-06T11:00:00.000Z,2024-02-08T17:00:00.000Z,"Exploring the wonders of space and astronomy, featuring exhibits, stargazing sessions, and expert talks."
62,Gourmet Delights Culinary Festival,20,2024-02-09T18:00:00.000Z,2024-02-11T21:00:00.000Z,"A culinary extravaganza featuring gourmet delights, chef demonstrations, and tastings of exquisite dishes."
63,Extreme Adventure and Travel Extravaganza,42,2024-02-12T09:30:00.000Z,2024-02-14T18:00:00.000Z,"Exploring adventure travel opportunities, outdoor activities, and promoting sustainable tourism."
64,Artisan Crafts and Handmade Arts Fair,33,2024-02-15T12:00:00.000Z,2024-02-17T20:00:00.000Z,"Showcasing handmade crafts, artistic creations, and providing a platform for local artisans."
65,Digital Marketing Mastery and Trends Conference,36,2024-02-18T08:00:00.000Z,2024-02-19T17:00:00.000Z,Exploring the latest trends and strategies in digital marketing and online presence.
66,Future Innovations and Technology Symposium,2,2024-02-20T10:00:00.000Z,2024-02-21T16:00:00.000Z,"Bringing together innovative thinkers, entrepreneurs, and industry leaders to discuss future trends."
67,Fashion Forward Design and Trends Exhibition,16,2024-02-22T18:00:00.000Z,2024-02-25T22:00:00.000Z,"Showcasing fashion designs, trends, and creative expressions in an exhibition setting."
68,Environmental Sustainability and Green Living Summit,45,2024-02-26T09:00:00.000Z,2024-02-27T18:00:00.000Z,"Discussing environmental issues, solutions, and promoting awareness for a sustainable future."
69,Jazz and Blues Music Festival,20,2024-02-28T16:00:00.000Z,2024-03-01T23:59:00.000Z,"A celebration of jazz and blues music with live performances, jam sessions, and a soulful atmosphere."
70,Education Excellence Expo,32,2024-02-03T12:30:00.000Z,2024-02-04T17:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
71,Virtual Reality World Showcase,19,2024-02-05T15:00:00.000Z,2024-02-07T19:00:00.000Z,Showcasing the latest advancements in virtual reality technology and experiences.
72,E-Sports Championship Tournament,16,2024-02-08T11:00:00.000Z,2024-02-10T20:00:00.000Z,A competitive gaming championship featuring top esports players and thrilling matches.
73,International Documentary Film Festival,39,2024-02-11T13:00:00.000Z,2024-02-13T23:59:00.000Z,"Screening a selection of international documentary films, followed by discussions with filmmakers."
74,Entrepreneurial Excellence and Innovation Summit,34,2024-02-14T09:00:00.000Z,2024-02-16T18:00:00.000Z,"Empowering entrepreneurs with insights, networking opportunities, and discussions on business success."
75,Bookworms Haven Fair,24,2024-02-17T14:00:00.000Z,2024-02-19T16:30:00.000Z,"A haven for book lovers, featuring a wide selection of books, author signings, and literary discussions."
76,AI and Robotics Marvel Exhibition,36,2024-02-20T10:30:00.000Z,2024-02-22T17:00:00.000Z,Exploring the latest developments and applications in artificial intelligence and robotics.
77,Wellness and Lifestyle Harmony Expo,39,2024-02-23T08:00:00.000Z,2024-02-24T16:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
78,Automotive Innovation and Future Fair,31,2024-02-25T12:00:00.000Z,2024-02-26T19:00:00.000Z,"Showcasing the latest innovations in the automotive industry, from electric cars to futuristic designs."
79,"Global Trade, Innovation, and Future Fair",47,2024-02-27T09:00:00.000Z,2024-02-28T18:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
80,Winter Wonderland Spectacle,23,2024-02-29T17:00:00.000Z,2024-03-05T22:00:00.000Z,"An enchanting winter-themed fair with festive activities, entertainment, and seasonal delights."
81,Space Exploration and Astronomy Marvel Expo,4,2024-02-06T11:00:00.000Z,2024-02-08T17:00:00.000Z,"Exploring the wonders of space and astronomy, featuring exhibits, stargazing sessions, and expert talks."
82,Gourmet Delights Culinary Festival,5,2024-02-09T18:00:00.000Z,2024-02-11T21:00:00.000Z,"A culinary extravaganza featuring gourmet delights, chef demonstrations, and tastings of exquisite dishes."
83,Extreme Adventure and Travel Extravaganza,38,2024-02-12T09:30:00.000Z,2024-02-14T18:00:00.000Z,"Exploring adventure travel opportunities, outdoor activities, and promoting sustainable tourism."
84,Artisan Crafts and Handmade Arts Fair,17,2024-02-15T12:00:00.000Z,2024-02-17T20:00:00.000Z,"Showcasing handmade crafts, artistic creations, and providing a platform for local artisans."
85,Digital Marketing Mastery and Trends Conference,14,2024-02-18T08:00:00.000Z,2024-02-19T17:00:00.000Z,Exploring the latest trends and strategies in digital marketing and online presence.
86,Future Innovations and Technology Symposium,26,2024-02-20T10:00:00.000Z,2024-02-21T16:00:00.000Z,"Bringing together innovative thinkers, entrepreneurs, and industry leaders to discuss future trends."
87,Fashion Forward Design and Trends Exhibition,20,2024-02-22T18:00:00.000Z,2024-02-25T22:00:00.000Z,"Showcasing fashion designs, trends, and creative expressions in an exhibition setting."
88,Environmental Sustainability and Green Living Summit,38,2024-02-26T09:00:00.000Z,2024-02-27T18:00:00.000Z,"Discussing environmental issues, solutions, and promoting awareness for a sustainable future."
89,Jazz and Blues Music Festival,33,2024-02-28T16:00:00.000Z,2024-03-01T23:59:00.000Z,"A celebration of jazz and blues music with live performances, jam sessions, and a soulful atmosphere."
90,Education Excellence Expo,16,2024-02-03T12:30:00.000Z,2024-02-04T17:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
91,Virtual Reality World Showcase,28,2024-02-05T15:00:00.000Z,2024-02-07T19:00:00.000Z,Showcasing the latest advancements in virtual reality technology and experiences.
92,E-Sports Championship Tournament,14,2024-02-08T11:00:00.000Z,2024-02-10T20:00:00.000Z,A competitive gaming championship featuring top esports players and thrilling matches.
93,International Documentary Film Festival,25,2024-02-11T13:00:00.000Z,2024-02-13T23:59:00.000Z,"Screening a selection of international documentary films, followed by discussions with filmmakers."
94,Entrepreneurial Excellence and Innovation Summit,34,2024-02-14T09:00:00.000Z,2024-02-16T18:00:00.000Z,"Empowering entrepreneurs with insights, networking opportunities, and discussions on business success."
95,Bookworms Haven Fair,11,2024-02-17T14:00:00.000Z,2024-02-19T16:30:00.000Z,"A haven for book lovers, featuring a wide selection of books, author signings, and literary discussions."
96,AI and Robotics Marvel Exhibition,25,2024-02-20T10:30:00.000Z,2024-02-22T17:00:00.000Z,Exploring the latest developments and applications in artificial intelligence and robotics.
97,Wellness and Lifestyle Harmony Expo,12,2024-02-23T08:00:00.000Z,2024-02-24T16:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
98,Automotive Innovation and Future Fair,16,2024-02-25T12:00:00.000Z,2024-02-26T19:00:00.000Z,"Showcasing the latest innovations in the automotive industry, from electric cars to futuristic designs."
99,"Global Trade, Innovation, and Future Fair",7,2024-02-27T09:00:00.000Z,2024-02-28T18:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
100,Winter Wonderland Spectacle,12,2024-02-29T17:00:00.000Z,2024-03-05T22:00:00.000Z,"An enchanting winter-themed fair with festive activities, entertainment, and seasonal delights."
