id,name,venue,startDate,endDate
75,"Bookworms Haven Fair","Literary Love for Knowledge Land","2024-02-17T14:00:00.000Z","2024-02-19T16:30:00.000Z"
76,"AI and Robotics Marvel Exhibition","Tech Wonders Marvel Frontier","2024-02-20T10:30:00.000Z","2024-02-22T17:00:00.000Z"
77,"Wellness and Lifestyle Harmony Expo","Holistic Harmony and Wellbeing Haven","2024-02-23T08:00:00.000Z","2024-02-24T16:00:00.000Z"
78,"Automotive Innovation and Future Fair","Drive into the Future Automotive Pavilion","2024-02-25T12:00:00.000Z","2024-02-26T19:00:00.000Z"
79,"Global Trade, Innovation, and Future Fair","World of Opportunities Global Pavilion","2024-02-27T09:00:00.000Z","2024-02-28T18:00:00.000Z"
80,"Winter Wonderland Spectacle","Frosty Fantasy Spectacular Fairground","2024-02-29T17:00:00.000Z","2024-03-05T22:00:00.000Z"
81,"Space Exploration and Astronomy Marvel Expo","Celestial Wonders Marvel Dome","2024-02-06T11:00:00.000Z","2024-02-08T17:00:00.000Z"
82,"Gourmet Delights Culinary Festival","Delicious Delicacies Culinary Plaza","2024-02-09T18:00:00.000Z","2024-02-11T21:00:00.000Z"
83,"Extreme Adventure and Travel Extravaganza","Adrenaline Rush Adventure Arena","2024-02-12T09:30:00.000Z","2024-02-14T18:00:00.000Z"
84,"Artisan Crafts and Handmade Arts Fair","Artistic Achievements and Handcrafted Arts Alley","2024-02-15T12:00:00.000Z","2024-02-17T20:00:00.000Z"
85,"Digital Marketing Mastery and Trends Conference","Digital Dynamo Mastery and Marketing Trends Hall","2024-02-18T08:00:00.000Z","2024-02-19T17:00:00.000Z"
86,"Future Innovations and Technology Symposium","NextGen Insights and Technology Hall","2024-02-20T10:00:00.000Z","2024-02-21T16:00:00.000Z"
87,"Fashion Forward Design and Trends Exhibition","Style Vision Studio and Fashion Trends Zone","2024-02-22T18:00:00.000Z","2024-02-25T22:00:00.000Z"
88,"Environmental Sustainability and Green Living Summit","Eco Harmony Solutions and Sustainable Living Center","2024-02-26T09:00:00.000Z","2024-02-27T18:00:00.000Z"
89,"Jazz and Blues Music Festival","Harmonious Jazz and Blissful Blues Music Park","2024-02-28T16:00:00.000Z","2024-03-01T23:59:00.000Z"
90,"Education Excellence Expo","Learn and Thrive Pavilion","2024-02-03T12:30:00.000Z","2024-02-04T17:30:00.000Z"
91,"Virtual Reality World Showcase","VR World Experience Zone","2024-02-05T15:00:00.000Z","2024-02-07T19:00:00.000Z"
92,"E-Sports Championship Tournament","Game Master Ultimate Arena","2024-02-08T11:00:00.000Z","2024-02-10T20:00:00.000Z"
93,"International Documentary Film Festival","Cinematic Realities Celebration City","2024-02-11T13:00:00.000Z","2024-02-13T23:59:00.000Z"
94,"Entrepreneurial Excellence and Innovation Summit","Business Brilliance and Future Nexus","2024-02-14T09:00:00.000Z","2024-02-16T18:00:00.000Z"
95,"Bookworms Haven Fair","Literary Love for Knowledge Land","2024-02-17T14:00:00.000Z","2024-02-19T16:30:00.000Z"
96,"AI and Robotics Marvel Exhibition","Tech Wonders Marvel Frontier","2024-02-20T10:30:00.000Z","2024-02-22T17:00:00.000Z"
97,"Wellness and Lifestyle Harmony Expo","Holistic Harmony and Wellbeing Haven","2024-02-23T08:00:00.000Z","2024-02-24T16:00:00.000Z"
98,"Automotive Innovation and Future Fair","Drive into the Future Automotive Pavilion","2024-02-25T12:00:00.000Z","2024-02-26T19:00:00.000Z"
99,"Global Trade, Innovation, and Future Fair","World of Opportunities Global Pavilion","2024-02-27T09:00:00.000Z","2024-02-28T18:00:00.000Z"
100,"Winter Wonderland Spectacle","Frosty Fantasy Spectacular Fairground","2024-02-29T17:00:00.000Z","2024-03-05T22:00:00.000Z"
